,0.25,0.45,0.75
0.25,1.0,9.603809644020114e-27,7.986542568176215e-58
0.45,9.603809644020114e-27,1.0,3.667462266426029e-07
0.75,7.986542568176215e-58,3.667462266426029e-07,1.0
