,0.1,0.5,0.9
0.1,1.0,1.527238851399495e-17,2.060775014031661e-80
0.5,1.527238851399495e-17,1.0,7.87322353366516e-25
0.9,2.060775014031661e-80,7.87322353366516e-25,1.0
