id_combinacion,numb_bees,max_itrs,p_f,limit,modification_rate,total_experimentos,experimentos_factibles,experimentos_no_factibles,tasa_factibilidad,fitness_count,fitness_mean,fitness_std,fitness_median,fitness_min,fitness_max,fitness_q25,fitness_q75,fitness_iqr,fitness_cv,tiempo_mean,tiempo_std,tiempo_median,tiempo_min,tiempo_max,tiempo_factibles_mean,tiempo_factibles_std,x1_mean,x1_std,x1_median,x1_min,x1_max,x2_mean,x2_std,x2_median,x2_min,x2_max,x3_mean,x3_std,x3_median,x3_min,x3_max,x4_mean,x4_std,x4_median,x4_min,x4_max,convergencia_mean,convergencia_std,convergencia_median,convergencia_min,convergencia_max,ranking_fitness,es_top_10_pct,es_top_20_pct
149,150,1000,0.45,50,0.9,30,30,0,100.0,30,2.538772,0.321788,2.50181,1.960806,3.400456,2.322103,2.726877,0.404774,12.674964,44.067112,0.284512,44.147551,43.390156,44.541871,44.067112,0.284512,0.224845,0.056239,0.224722,0.139771,0.324931,5.135338,1.86535,4.85427,2.622662,8.850668,8.458399,0.911036,8.599731,5.783991,9.56648,0.300755,0.076608,0.28334,0.208274,0.550865,2.538772,0.321788,2.50181,1.960806,3.400456,12,True,True
128,150,500,0.75,10,0.9,30,30,0,100.0,30,2.55505,0.344102,2.636426,1.895526,3.0996,2.30752,2.809198,0.501677,13.467525,21.841998,0.297407,21.848762,20.789098,22.630016,21.841998,0.297407,0.230639,0.055686,0.234751,0.128992,0.337322,5.234622,2.061095,5.040996,2.229083,9.572325,8.530995,0.959867,8.790469,6.148609,9.906219,0.294832,0.064638,0.287485,0.210226,0.508846,2.55505,0.344102,2.636426,1.895526,3.0996,13,True,True
65,50,1000,0.45,10,0.9,30,30,0,100.0,30,2.56177,0.342037,2.461737,1.926354,3.238659,2.356106,2.797432,0.441326,13.351599,6.699507,0.18139,6.738094,6.1194,6.940411,6.699507,0.18139,0.232062,0.05928,0.230222,0.142551,0.374609,5.118216,2.004639,4.86692,2.368175,9.72397,8.461881,0.936469,8.488546,6.026898,9.813965,0.30008,0.070359,0.28857,0.206906,0.576818,2.56177,0.342037,2.461737,1.926354,3.238659,14,True,True
215,450,500,0.75,150,0.9,30,30,0,100.0,30,2.563255,0.270553,2.516701,2.108277,3.106403,2.393968,2.726389,0.332421,10.555052,309.180776,2.713789,308.982638,305.304765,320.478609,309.180776,2.713789,0.230465,0.055431,0.220658,0.147109,0.361253,5.12646,1.805496,4.67666,2.501646,9.472786,8.558287,0.882137,8.521275,7.028309,9.961694,0.296342,0.057554,0.269617,0.215809,0.413741,2.563255,0.270553,2.516701,2.108277,3.106403,15,True,True
209,450,500,0.75,10,0.9,30,30,0,100.0,30,2.563255,0.270553,2.516701,2.108277,3.106403,2.393968,2.726389,0.332421,10.555052,305.867822,5.011159,305.09385,300.32785,331.588325,305.867822,5.011159,0.230465,0.055431,0.220658,0.147109,0.361253,5.12646,1.805496,4.67666,2.501646,9.472786,8.558287,0.882137,8.521275,7.028309,9.961694,0.296342,0.057554,0.269617,0.215809,0.413741,2.563255,0.270553,2.516701,2.108277,3.106403,15,True,True
212,450,500,0.75,50,0.9,30,30,0,100.0,30,2.563255,0.270553,2.516701,2.108277,3.106403,2.393968,2.726389,0.332421,10.555052,307.800821,4.158361,306.062302,304.285687,323.639951,307.800821,4.158361,0.230465,0.055431,0.220658,0.147109,0.361253,5.12646,1.805496,4.67666,2.501646,9.472786,8.558287,0.882137,8.521275,7.028309,9.961694,0.296342,0.057554,0.269617,0.215809,0.413741,2.563255,0.270553,2.516701,2.108277,3.106403,15,True,True
146,150,1000,0.45,10,0.9,30,30,0,100.0,30,2.575985,0.29725,2.607679,2.021525,3.518894,2.450306,2.693714,0.243408,11.539278,44.138014,0.316509,44.236836,43.432117,45.055307,44.138014,0.316509,0.214787,0.054039,0.198677,0.144805,0.382656,6.022742,2.092011,5.860828,1.876878,9.878067,8.758039,0.808754,8.737033,7.545055,9.993834,0.276724,0.052887,0.263725,0.208494,0.413802,2.575985,0.29725,2.607679,2.021525,3.518894,18,True,True
206,450,500,0.45,150,0.9,30,30,0,100.0,30,2.591688,0.323849,2.627968,1.888903,3.324231,2.407118,2.771573,0.364455,12.495664,308.316704,2.090524,308.394262,301.054853,316.027284,308.316704,2.090524,0.241261,0.066233,0.230613,0.130135,0.379571,5.031706,1.993485,4.858502,2.362009,9.982023,8.624699,1.036782,8.899145,6.213255,9.956039,0.300123,0.07353,0.291517,0.204489,0.480685,2.591688,0.323849,2.627968,1.888903,3.324231,19,True,True
238,450,1000,0.75,50,0.5,30,30,0,100.0,30,2.612695,0.325912,2.609038,2.047339,3.484465,2.40589,2.769505,0.363615,12.474176,618.678823,3.78307,619.568913,610.555863,625.232469,618.678823,3.78307,0.267961,0.095101,0.268484,0.125129,0.471801,4.516774,1.763827,4.671105,1.919981,8.360948,8.264405,1.052828,8.254974,6.119088,9.88259,0.323151,0.079872,0.30575,0.212059,0.484006,2.612695,0.325912,2.609038,2.047339,3.484465,20,True,True
235,450,1000,0.75,10,0.5,30,30,0,100.0,30,2.612695,0.325912,2.609038,2.047339,3.484465,2.40589,2.769505,0.363615,12.474176,617.501178,8.547999,615.572065,611.72889,652.493796,617.501178,8.547999,0.267961,0.095101,0.268484,0.125129,0.471801,4.516774,1.763827,4.671105,1.919981,8.360948,8.264405,1.052828,8.254974,6.119088,9.88259,0.323151,0.079872,0.30575,0.212059,0.484006,2.612695,0.325912,2.609038,2.047339,3.484465,20,True,True
241,450,1000,0.75,150,0.5,30,30,0,100.0,30,2.61364,0.316654,2.607704,2.047339,3.484465,2.395321,2.831638,0.436317,12.115425,620.129407,5.581315,618.510726,616.143355,641.879176,620.129407,5.581315,0.277202,0.078212,0.268484,0.161237,0.48931,4.088953,1.332133,4.095788,1.701235,7.430681,7.967442,1.140771,7.765441,5.56119,9.747479,0.341136,0.081568,0.319217,0.218983,0.546494,2.61364,0.316654,2.607704,2.047339,3.484465,22,True,True
221,450,1000,0.25,50,0.9,30,30,0,100.0,30,2.632514,0.322337,2.617063,1.894484,3.162477,2.429835,2.862488,0.432653,12.244464,634.524742,9.452927,627.676148,623.696771,647.460235,634.524742,9.452927,0.242445,0.06668,0.237846,0.147043,0.367048,5.276739,2.075676,5.262345,2.379622,9.488047,8.416221,1.088669,8.630256,5.664105,9.88259,0.308192,0.076455,0.291001,0.208439,0.540002,2.632514,0.322337,2.617063,1.894484,3.162477,23,True,True
218,450,1000,0.25,10,0.9,30,30,0,100.0,30,2.632514,0.322337,2.617063,1.894484,3.162477,2.429835,2.862488,0.432653,12.244464,627.430856,2.854953,627.308123,615.280865,630.937147,627.430856,2.854953,0.242445,0.06668,0.237846,0.147043,0.367048,5.276739,2.075676,5.262345,2.379622,9.488047,8.416221,1.088669,8.630256,5.664105,9.88259,0.308192,0.076455,0.291001,0.208439,0.540002,2.632514,0.322337,2.617063,1.894484,3.162477,23,True,True
203,450,500,0.45,50,0.9,30,30,0,100.0,30,2.637083,0.422327,2.689543,1.888903,3.539966,2.357239,2.827762,0.470523,16.014939,309.03749,3.669921,308.259321,306.270505,328.036111,309.03749,3.669921,0.238399,0.053812,0.233261,0.145975,0.35157,5.067156,1.809359,4.595088,2.362009,9.502279,8.463563,1.145449,8.323775,6.291023,9.922482,0.312159,0.089286,0.300219,0.204489,0.56822,2.637083,0.422327,2.689543,1.888903,3.539966,25,False,True
200,450,500,0.45,10,0.9,30,30,0,100.0,30,2.637083,0.422327,2.689543,1.888903,3.539966,2.357239,2.827762,0.470523,16.014939,308.777849,4.037034,308.600536,300.384886,327.89289,308.777849,4.037034,0.238399,0.053812,0.233261,0.145975,0.35157,5.067156,1.809359,4.595088,2.362009,9.502279,8.463563,1.145449,8.323775,6.291023,9.922482,0.312159,0.089286,0.300219,0.204489,0.56822,2.637083,0.422327,2.689543,1.888903,3.539966,25,False,True
68,50,1000,0.45,50,0.9,30,30,0,100.0,30,2.650416,0.359358,2.574272,1.898917,3.387464,2.4236,2.957198,0.533598,13.558558,6.637795,0.189046,6.648298,6.063725,7.005749,6.637795,0.189046,0.249773,0.071085,0.242219,0.141876,0.418248,4.891318,1.643601,4.744555,1.909473,8.064417,8.029624,1.166487,8.462935,5.650006,9.920886,0.330574,0.080079,0.315718,0.202369,0.531243,2.650416,0.359358,2.574272,1.898917,3.387464,27,False,True
154,150,1000,0.75,10,0.5,30,30,0,100.0,30,2.65118,0.311079,2.64305,1.872344,3.194137,2.461064,2.875079,0.414015,11.733593,43.875167,0.442713,43.959107,42.502813,44.529719,43.875167,0.442713,0.286081,0.095208,0.286296,0.150523,0.490651,4.173915,2.027163,3.378396,1.699354,8.543364,8.091025,1.291378,8.358178,5.992508,9.944696,0.342956,0.086812,0.339109,0.207179,0.502886,2.65118,0.311079,2.64305,1.872344,3.194137,28,False,True
134,150,500,0.75,150,0.9,30,30,0,100.0,30,2.68589,0.359928,2.681548,2.113168,3.551493,2.386033,2.92408,0.538047,13.400711,21.701028,0.253635,21.738778,20.796284,22.168131,21.701028,0.253635,0.24976,0.062159,0.240109,0.138573,0.384611,4.381737,1.305492,3.874225,2.685418,7.450837,8.482391,0.910749,8.497146,5.760441,9.708683,0.325808,0.074671,0.299632,0.23974,0.617581,2.68589,0.359928,2.681548,2.113168,3.551493,29,False,True
131,150,500,0.75,50,0.9,30,30,0,100.0,30,2.694661,0.357334,2.689607,2.075622,3.791469,2.417375,2.902047,0.484672,13.260828,21.756438,0.338403,21.83109,20.688291,22.134873,21.756438,0.338403,0.274082,0.109998,0.245568,0.1602,0.695779,4.510551,1.687943,4.255966,1.553245,7.778906,7.964226,1.206411,7.9426,4.268884,9.836185,0.352475,0.131419,0.331594,0.229242,0.92691,2.694661,0.357334,2.689607,2.075622,3.791469,30,False,True
157,150,1000,0.75,50,0.5,30,30,0,100.0,30,2.696034,0.348916,2.720955,1.880103,3.382318,2.430559,2.930852,0.500293,12.941822,43.796139,0.356875,43.890094,42.954857,44.330431,43.796139,0.356875,0.281854,0.090471,0.261372,0.14052,0.525588,4.29137,1.774871,4.322386,1.762749,8.553692,8.108662,1.209688,8.381119,5.678855,9.798775,0.345579,0.096466,0.342363,0.215232,0.568902,2.696034,0.348916,2.720955,1.880103,3.382318,31,False,True
140,150,1000,0.25,50,0.9,30,30,0,100.0,30,2.696774,0.379231,2.743169,1.953968,3.409415,2.491656,2.878323,0.386667,14.062405,45.261,0.36968,45.208755,44.553239,46.450059,45.261,0.36968,0.249654,0.100915,0.218575,0.1383,0.616006,4.853335,1.850011,5.103248,1.573462,8.042547,8.194958,1.22627,8.498876,5.615603,9.915124,0.339187,0.104231,0.321793,0.205685,0.653564,2.696774,0.379231,2.743169,1.953968,3.409415,32,False,True
240,450,1000,0.75,150,0.1,30,30,0,100.0,30,2.709826,0.46908,2.699395,2.033908,3.859014,2.366102,2.965402,0.5993,17.310354,622.377062,3.246294,622.59983,611.592294,626.76799,622.377062,3.246294,0.271502,0.100083,0.240705,0.163541,0.51221,4.938509,2.070005,4.649549,1.89786,9.491474,8.132809,1.266808,8.369577,5.514988,9.928418,0.336056,0.125382,0.301289,0.207578,0.790839,2.709826,0.46908,2.699395,2.033908,3.859014,33,False,True
232,450,1000,0.45,150,0.5,30,30,0,100.0,30,2.719486,0.390672,2.640407,2.108373,3.854356,2.511212,2.883284,0.372072,14.365637,622.259534,3.4501,621.780532,618.250721,636.826619,622.259534,3.4501,0.258586,0.090684,0.235461,0.163541,0.536761,4.940157,2.006655,3.9714,2.558381,9.491474,8.538965,1.263762,8.782466,5.563679,9.969512,0.31881,0.087497,0.293494,0.229325,0.559196,2.719486,0.390672,2.640407,2.108373,3.854356,34,False,True
77,50,1000,0.75,50,0.9,30,30,0,100.0,30,2.724142,0.345125,2.694297,2.161745,3.70479,2.470468,2.907029,0.436561,12.669131,6.552826,0.202414,6.59093,5.737341,6.753716,6.552826,0.202414,0.241395,0.070734,0.236032,0.134806,0.390934,5.224405,1.781596,4.897545,2.385897,8.843954,8.168959,1.115865,8.211528,5.555857,9.936735,0.331196,0.089054,0.305284,0.220775,0.5591,2.724142,0.345125,2.694297,2.161745,3.70479,35,False,True
211,450,500,0.75,50,0.5,30,30,0,100.0,30,2.7246,0.378451,2.704966,2.047339,3.614398,2.48442,2.968996,0.484576,13.890145,306.941973,2.370429,306.604396,301.086517,315.81503,306.941973,2.370429,0.270115,0.090541,0.268484,0.125129,0.449573,4.617512,2.147402,3.898146,1.896579,9.491474,8.451162,0.951488,8.307237,6.044346,9.88259,0.32848,0.084012,0.316546,0.218983,0.513642,2.7246,0.378451,2.704966,2.047339,3.614398,36,False,True
208,450,500,0.75,10,0.5,30,30,0,100.0,30,2.7246,0.378451,2.704966,2.047339,3.614398,2.48442,2.968996,0.484576,13.890145,307.539926,2.541566,307.234135,304.0019,319.131753,307.539926,2.541566,0.270115,0.090541,0.268484,0.125129,0.449573,4.617512,2.147402,3.898146,1.896579,9.491474,8.451162,0.951488,8.307237,6.044346,9.88259,0.32848,0.084012,0.316546,0.218983,0.513642,2.7246,0.378451,2.704966,2.047339,3.614398,36,False,True
226,450,1000,0.45,10,0.5,30,30,0,100.0,30,2.724743,0.31075,2.750218,2.025549,3.260657,2.596018,3.015291,0.419273,11.404761,652.885417,21.031313,638.11332,632.101474,681.208532,652.885417,21.031313,0.275292,0.074039,0.271792,0.165895,0.457512,4.110079,1.514636,3.781516,1.854271,8.254573,7.99988,1.218776,8.04955,5.339527,9.959206,0.356981,0.083243,0.352093,0.252698,0.614013,2.724743,0.31075,2.750218,2.025549,3.260657,38,False,True
229,450,1000,0.45,50,0.5,30,30,0,100.0,30,2.724743,0.31075,2.750218,2.025549,3.260657,2.596018,3.015291,0.419273,11.404761,613.212138,6.922355,613.763274,594.837642,622.000526,613.212138,6.922355,0.275292,0.074039,0.271792,0.165895,0.457512,4.110079,1.514636,3.781516,1.854271,8.254573,7.99988,1.218776,8.04955,5.339527,9.959206,0.356981,0.083243,0.352093,0.252698,0.614013,2.724743,0.31075,2.750218,2.025549,3.260657,38,False,True
188,450,100,0.75,150,0.9,30,30,0,100.0,30,2.735948,0.356997,2.724275,2.146159,3.424519,2.447037,3.041395,0.594358,13.048394,61.326364,0.820682,61.1719,60.025085,64.860136,61.326364,0.820682,0.262815,0.084474,0.24329,0.148076,0.536761,4.627194,1.867489,4.120307,2.137365,9.472786,8.404045,1.220091,8.749735,5.563679,9.943974,0.334296,0.091643,0.327588,0.206787,0.559196,2.735948,0.356997,2.724275,2.146159,3.424519,40,False,True
182,450,100,0.75,10,0.9,30,30,0,100.0,30,2.735948,0.356997,2.724275,2.146159,3.424519,2.447037,3.041395,0.594358,13.048394,61.228314,0.310948,61.227957,60.304898,61.988724,61.228314,0.310948,0.262815,0.084474,0.24329,0.148076,0.536761,4.627194,1.867489,4.120307,2.137365,9.472786,8.404045,1.220091,8.749735,5.563679,9.943974,0.334296,0.091643,0.327588,0.206787,0.559196,2.735948,0.356997,2.724275,2.146159,3.424519,40,False,True
