numb_bees,max_itrs,p_f,limit,modification_rate,count,mean,median,std,min,max
50,1000,0.75,50,0.5,30,2.870637,2.809766,0.355257,2.174451,3.789789
50,1000,0.75,50,0.9,30,2.724142,2.694297,0.345125,2.161745,3.70479
50,1000,0.75,150,0.1,30,3.027047,3.022118,0.425511,2.274288,3.986016
50,1000,0.75,150,0.5,30,2.954868,3.066425,0.294482,2.385834,3.486467
50,1000,0.75,150,0.9,30,2.877246,2.903155,0.426916,2.041325,3.639489
150,100,0.25,10,0.1,30,3.617031,3.649965,0.589356,2.534338,4.927341
150,100,0.25,10,0.5,30,3.66782,3.731284,0.599951,2.878195,4.919465
150,100,0.25,10,0.9,30,3.657481,3.656894,0.635591,2.403909,5.445365
150,100,0.25,50,0.1,30,3.605198,3.685577,0.557475,2.534338,4.526416
150,100,0.25,50,0.5,30,3.829152,3.888223,0.620357,2.557078,5.063692
150,100,0.25,50,0.9,30,3.661539,3.692912,0.605668,2.490936,4.679126
150,100,0.25,150,0.1,30,3.605198,3.685577,0.557475,2.534338,4.526416
150,100,0.25,150,0.5,30,3.943159,3.996359,0.670101,2.557078,5.396525
150,100,0.25,150,0.9,30,3.82828,3.933869,0.657159,2.594239,5.230386
150,100,0.45,10,0.1,30,3.610501,3.628669,0.512246,2.878195,4.43557
150,100,0.45,10,0.5,30,3.798628,3.852854,0.652591,2.762591,5.031577
150,100,0.45,10,0.9,30,3.263697,3.141536,0.625699,2.214448,4.526416
150,100,0.45,50,0.1,30,3.624829,3.640381,0.495782,2.878195,4.530244
150,100,0.45,50,0.5,30,3.654214,3.655605,0.668038,2.664476,5.194394
150,100,0.45,50,0.9,30,3.510841,3.491394,0.602397,2.12134,4.835412
150,100,0.45,150,0.1,30,3.625906,3.656527,0.495848,2.878195,4.530244
150,100,0.45,150,0.5,30,3.970404,3.849562,0.693012,2.762591,5.277616
150,100,0.45,150,0.9,30,3.683478,3.702141,0.694855,2.664507,5.228624
150,100,0.75,10,0.1,30,3.499371,3.655691,0.469163,2.668262,4.458474
150,100,0.75,10,0.5,30,3.538564,3.525725,0.579466,2.505015,5.073937
150,100,0.75,10,0.9,30,3.181846,3.116146,0.502983,1.981951,4.526416
150,100,0.75,50,0.1,30,3.491529,3.402951,0.548295,2.588699,4.413315
150,100,0.75,50,0.5,30,3.556798,3.525125,0.622952,2.130743,4.652051
